age,qx,px,lx,dx,lx_next,Lx,Tx,ex
72,0.02032271513055293,0.979677284869447,77728.10703653735,1579.6461769406753,76148.46085959667,76938.28394806701,807783.7787463791,10.392428293238472
73,0.02150192343849324,0.9784980765615068,76148.46085959667,1637.3383753621467,74511.12248423453,75329.79167191559,730845.4947983121,9.597639749355574
74,0.02548998294935585,0.9745100170506441,74511.12248423453,1899.2872416605032,72611.83524257402,73561.47886340428,655515.7031263965,8.797555066561964
75,0.0268331643400129,0.9731668356599871,72611.83524257402,1948.405308093929,70663.42993448008,71637.63258852705,581954.2242629923,8.014591868100572
76,0.03013351036617395,0.969866489633826,70663.42993448008,2129.3371984400624,68534.09273604002,69598.76133526006,510316.5916744652,7.221791981335133
77,0.03282931089529723,0.9671706891047027,68534.09273604002,2249.9270373585896,66284.16569868143,67409.12921736072,440717.83033920516,6.430636384676978
78,0.03701180389657613,0.9629881961034239,66284.16569868143,2453.296542287755,63830.86915639368,65057.51742753756,373308.7011218444,5.631943876594203
79,0.04099983821388125,0.9590001617861188,63830.86915639368,2617.0553084635635,61213.81384793012,62522.3415021619,308251.1836943069,4.829186689265543
80,0.04544396729886847,0.9545560327011315,61213.81384793012,2781.7985547443586,58432.01529318576,59822.91457055794,245728.84219214495,4.01427107290839
81,0.05110559921352792,0.9488944007864721,58432.01529318576,2986.2031548122854,55445.812138373476,56938.91371577962,185905.927621587,3.1815765156959603
82,0.05697309192757827,0.9430269080724217,55445.812138373476,3158.919351958787,52286.89278641469,53866.35246239408,128967.01390580738,2.3260009896500486
83,0.06368092573047028,0.9363190742695298,52286.89278641469,3329.677736208736,48957.21505020596,50622.053918310325,75100.66144341331,1.43631907426953
84,0.07160075843954557,0.9283992415604544,48957.21505020596,3505.3737286826818,NA,24478.60752510298,24478.60752510298,0.5
